iter	Passed	Remaining
418	2435	3377
419	2441	3370
420	2446	3363
421	2451	3358
422	2456	3351
423	2461	3343
424	2466	3336
425	2471	3330
426	2477	3324
427	2483	3318
428	2488	3312
429	2494	3306
430	2499	3299
431	2504	3292
432	2509	3285
433	2514	3279
434	2520	3273
435	2526	3267
436	2531	3260
437	2536	3254
438	2541	3247
439	2547	3242
440	2552	3235
441	2557	3228
442	2563	3222
443	2568	3216
444	2573	3210
445	2579	3203
446	2584	3197
447	2589	3191
448	2595	3184
449	2600	3178
450	2606	3172
451	2611	3166
452	2616	3159
453	2621	3153
454	2627	3147
455	2632	3140
456	2637	3134
457	2643	3128
458	2648	3121
459	2653	3114
460	2659	3109
461	2665	3103
462	2670	3097
463	2675	3090
464	2681	3084
465	2686	3078
466	2691	3071
467	2696	3064
468	2701	3058
469	2706	3051
470	2711	3045
471	2717	3039
472	2722	3033
473	2727	3026
474	2733	3020
475	2738	3014
476	2743	3007
477	2748	3001
478	2752	2994
479	2758	2988
480	2763	2982
481	2769	2976
482	2773	2969
483	2778	2962
484	2783	2955
485	2789	2950
486	2794	2943
487	2799	2937
488	2804	2930
489	2809	2924
490	2815	2918
491	2820	2911
492	2825	2905
493	2830	2899
494	2835	2893
495	2841	2887
496	2846	2881
497	2852	2875
498	2858	2869
499	2863	2863
500	2868	2856
501	2873	2850
502	2879	2844
503	2884	2838
504	2890	2833
505	2895	2827
506	2901	2821
507	2907	2815
508	2912	2809
509	2917	2803
510	2922	2797
511	2928	2790
512	2933	2784
513	2939	2779
514	2944	2773
515	2950	2767
516	2956	2761
517	2961	2755
518	2966	2749
519	2971	2743
520	2977	2737
521	2983	2731
522	2989	2726
523	2993	2719
524	2998	2713
525	3004	2707
526	3009	2701
527	3014	2694
528	3019	2688
529	3024	2682
530	3030	2676
531	3035	2670
532	3040	2663
533	3044	2657
534	3050	2651
535	3055	2645
536	3061	2639
537	3066	2633
538	3071	2627
539	3076	2621
540	3082	2615
541	3086	2608
542	3091	2602
543	3096	2595
544	3101	2589
545	3105	2582
546	3110	2576
547	3115	2570
548	3121	2564
549	3126	2557
550	3131	2551
551	3135	2545
552	3141	2539
553	3146	2533
554	3152	2527
555	3157	2521
556	3162	2515
557	3168	2509
558	3172	2503
559	3177	2496
560	3182	2490
561	3187	2484
562	3192	2478
563	3197	2471
564	3203	2466
565	3208	2459
566	3213	2454
567	3218	2447
568	3223	2441
569	3228	2435
570	3234	2429
571	3240	2424
572	3249	2421
573	3255	2416
574	3262	2411
575	3268	2406
576	3274	2400
577	3280	2395
578	3286	2389
579	3291	2383
580	3297	2377
581	3302	2371
582	3307	2365
583	3313	2360
584	3318	2354
585	3323	2348
586	3328	2342
587	3334	2336
588	3340	2330
589	3344	2324
590	3350	2318
591	3355	2312
592	3360	2306
593	3365	2300
594	3370	2294
595	3376	2288
596	3381	2282
597	3386	2276
598	3391	2270
599	3397	2264
600	3401	2258
601	3407	2252
602	3412	2246
603	3417	2240
604	3422	2234
605	3428	2228
606	3433	2222
607	3438	2216
608	3443	2211
609	3449	2205
610	3454	2199
611	3459	2193
612	3464	2187
613	3470	2181
614	3475	2175
615	3479	2169
616	3485	2163
617	3490	2157
618	3496	2151
619	3501	2145
620	3506	2140
621	3512	2134
622	3517	2128
623	3522	2122
624	3527	2116
625	3532	2110
626	3538	2104
627	3542	2098
628	3549	2093
629	3554	2087
630	3559	2081
631	3565	2076
632	3570	2070
633	3575	2064
634	3580	2058
635	3585	2052
636	3590	2046
637	3596	2040
638	3600	2034
639	3605	2028
640	3610	2021
641	3615	2016
642	3620	2010
643	3625	2004
644	3631	1998
645	3636	1992
