iter	RMSE
889	3577.443199
890	3572.426885
891	3570.06472
892	3566.990156
893	3563.820452
894	3562.580249
895	3560.507203
896	3557.371019
897	3555.946718
898	3551.477622
899	3547.157161
900	3545.104125
901	3543.386947
902	3542.038884
903	3539.184511
904	3537.61889
905	3533.375184
906	3529.649266
907	3525.385407
908	3523.349827
909	3520.178553
910	3516.787996
911	3514.421149
912	3509.912103
913	3507.293946
914	3504.170036
915	3501.883097
916	3498.180196
917	3496.2648
918	3492.683229
919	3488.774789
920	3485.116809
921	3482.714266
922	3479.801114
923	3476.57611
924	3474.106986
925	3472.541025
926	3470.150675
927	3466.432396
928	3462.765976
929	3458.305236
930	3454.360494
931	3452.150422
932	3449.516735
933	3445.430545
934	3444.205023
935	3442.902174
936	3440.748588
937	3438.548131
938	3435.133564
939	3431.573036
940	3428.950431
941	3426.197296
942	3423.938468
943	3419.583755
944	3417.515975
945	3413.748129
946	3409.808641
947	3405.719509
948	3402.987406
949	3399.33721
950	3395.804386
951	3393.490609
952	3391.997568
953	3388.482352
954	3385.144724
955	3383.312858
956	3380.311598
957	3377.46055
958	3375.131051
959	3373.140911
960	3370.033829
961	3365.97637
962	3364.287039
963	3360.303653
964	3357.276122
965	3353.873191
966	3350.250334
967	3348.133674
968	3344.871033
969	3342.204856
970	3339.894181
971	3337.339713
972	3335.69652
973	3333.189704
974	3331.569836
975	3330.2839
976	3327.166183
977	3325.526678
978	3323.295935
979	3321.09988
980	3318.011422
981	3314.673708
982	3312.415567
983	3309.327556
984	3307.357498
985	3304.727722
986	3301.904796
987	3300.130957
988	3296.368264
989	3294.46844
990	3290.571005
991	3287.920076
992	3285.510939
993	3282.675508
994	3280.340693
995	3278.24871
996	3275.20475
997	3273.872412
998	3270.941983
999	3269.354537

